"co_procedimento";"co_registro"
"0202010139";"02"
"0202010139";"05"
"0202010147";"01"
"0202010147";"02"
"0202010147";"05"
"0202010155";"01"
"0202010155";"02"
"0202010155";"05"
"0202010163";"01"
"0202010163";"02"
"0202010163";"05"
"0202010171";"01"
"0202010171";"02"
"0202010171";"05"
"0202010180";"01"
"0202010180";"02"
"0202010180";"05"
"0202010198";"01"
"0202010198";"02"
"0202010198";"05"
"0202010201";"01"
"0202010201";"02"
"0202010201";"05"
"0202010210";"01"
"0202010210";"02"
"0202010210";"05"
"0202010210";"07"
"0202010228";"01"
"0202010228";"02"
"0202010228";"05"
"0202010236";"01"
"0202010236";"02"
"0202010236";"05"
"0202010244";"05"
"0202010252";"01"
"0202010252";"02"
"0202010252";"05"
"0202010260";"01"
"0202010260";"02"
"0202010260";"05"
"0202010279";"01"
"0202010279";"02"
"0202010279";"05"
"0202010279";"07"
"0202010287";"01"
"0202010287";"02"
"0202010287";"05"
"0202010287";"07"
"0202010295";"01"
"0202010295";"02"
"0202010295";"05"
"0202010295";"07"
"0202010309";"01"
"0202010309";"02"
"0202010309";"05"
"0202010317";"01"
"0202010317";"02"
"0202010317";"05"
"0202010317";"07"
"0202010325";"01"
"0202010325";"02"
"0202010325";"05"
"0202010333";"01"
"0202010333";"02"
"0202010333";"05"
"0202010341";"01"
"0202010341";"02"
"0202010341";"05"
"0202010350";"01"
"0202010350";"02"
"0202010350";"05"
"0202010368";"01"
"0202010368";"02"
"0202010368";"05"
"0202010376";"01"
"0202010376";"02"
"0202010376";"05"
"0202010384";"01"
"0202010384";"02"
"0202010384";"05"
"0202010384";"07"
"0202010392";"01"
"0202010392";"02"
"0202010392";"05"
"0202010392";"07"
"0202010406";"01"
"0202010406";"02"
"0202010406";"05"
"0202010414";"01"
"0202010414";"02"
"0202010414";"05"
"0202010422";"01"
"0202010422";"02"
"0202010422";"05"
"0202010422";"07"
"0202010430";"01"
"0202010430";"02"
"0202010430";"05"
"0202010430";"07"
"0202010449";"01"
"0202010449";"02"
"0202010449";"05"
"0202010457";"01"
"0202010457";"02"
"0202010457";"05"
"0202010465";"01"
"0202010465";"02"
"0202010465";"05"
"0202010473";"01"
"0202010473";"02"
"0202010473";"05"
"0202010473";"07"
"0202010481";"01"
"0202010481";"02"
"0202010481";"05"
"0202010490";"01"
"0202010490";"02"
"0202010490";"05"
"0202010503";"01"
"0202010503";"02"
"0202010503";"05"
"0202010503";"07"
"0202010511";"01"
"0202010511";"02"
"0202010511";"05"
"0202010520";"01"
"0202010520";"02"
"0202010538";"01"
"0202010538";"02"
"0202010538";"05"
"0202010546";"01"
"0202010546";"02"
"0202010546";"05"
"0202010554";"01"
"0202010554";"02"
"0202010554";"05"
"0202010562";"01"
"0202010562";"02"
"0202010562";"05"
"0202010570";"01"
"0202010570";"02"
"0202010570";"05"
"0202010589";"01"
"0202010589";"02"
"0202010589";"05"
"0202010597";"01"
"0202010597";"02"
"0202010597";"05"
"0202010600";"01"
"0202010600";"02"
"0202010600";"05"
"0202010600";"07"
"0202010619";"01"
"0202010619";"02"
"0202010619";"05"
"0202010627";"01"
"0202010627";"02"
"0202010627";"05"
"0202010627";"07"
"0202010635";"01"
"0202010635";"02"
"0202010635";"05"
"0202010635";"07"
"0202010643";"01"
"0202010643";"02"
"0202010643";"05"
"0202010651";"01"
"0202010651";"02"
"0202010651";"05"
"0202010651";"07"
"0202010660";"01"
"0202010660";"02"
"0202010660";"05"
"0202010660";"07"
"0202010678";"01"
"0202010678";"02"
"0202010678";"05"
"0202010678";"07"
"0202010686";"01"
"0202010686";"02"
"0202010686";"05"
"0202010694";"01"
"0202010694";"02"
"0202010694";"05"
"0202010694";"07"
"0202010708";"01"
"0202010708";"02"
"0202010708";"05"
"0202010716";"01"
"0202010716";"02"
"0202010716";"05"
"0202010724";"01"
"0202010724";"02"
"0202010724";"05"
"0202010732";"01"
"0202010732";"02"
"0202010732";"05"
"0202010740";"01"
"0202010740";"02"
"0202010740";"05"
"0202010759";"01"
"0202010759";"02"
"0202010759";"05"
"0202010767";"01"
"0202010767";"02"
"0202010767";"05"
"0202010767";"07"
"0202010775";"01"
"0202010775";"02"
"0202010783";"01"
"0202010783";"02"
"0202020010";"01"
"0202020010";"02"
"0202020010";"05"
"0202020029";"01"
"0202020029";"02"
"0202020029";"05"
"0202020037";"01"
"0202020037";"02"
"0202020037";"05"
"0202020045";"01"
"0202020045";"02"
"0202020045";"05"
"0202020053";"01"
"0202020053";"02"
"0202020053";"05"
"0202020061";"01"
"0202020061";"02"
"0202020061";"05"
"0202020070";"01"
"0202020070";"02"
"0202020070";"05"
"0202020088";"01"
"0202020088";"02"
"0202020088";"05"
"0202020096";"01"
"0202020096";"02"
"0202020096";"05"
"0202020100";"01"
"0202020100";"02"
"0202020100";"05"
"0202020118";"01"
"0202020118";"02"
"0202020126";"01"
"0202020126";"02"
"0202020126";"05"
"0202020134";"01"
"0202020134";"02"
"0202020134";"05"
"0202020142";"01"
"0202020142";"02"
"0202020142";"05"
"0202020150";"01"
"0202020150";"02"
"0202020150";"05"
"0202020169";"01"
"0202020169";"02"
"0202020169";"05"
"0202020177";"01"
"0202020177";"02"
"0202020177";"05"
"0202020185";"01"
"0202020185";"02"
"0202020185";"05"
"0202020193";"01"
"0202020193";"02"
"0202020193";"05"
"0202020207";"01"
"0202020207";"02"
"0202020207";"05"
"0202020215";"01"
"0202020215";"02"
"0202020215";"05"
"0202020223";"01"
"0202020223";"02"
"0202020223";"05"
"0202020231";"01"
"0202020231";"02"
"0202020231";"05"
"0202020240";"01"
"0202020240";"02"
"0202020240";"05"
"0202020258";"01"
"0202020258";"02"
"0202020258";"05"
"0202020266";"01"
"0202020266";"02"
"0202020266";"05"
"0202020274";"01"
"0202020274";"02"
"0202020274";"05"
"0202020282";"01"
"0202020282";"02"
"0202020282";"05"
"0202020290";"01"
"0202020290";"02"
"0202020290";"05"
"0202020304";"01"
"0202020304";"02"
"0202020304";"05"
"0202020304";"07"
"0202020312";"01"
"0202020312";"02"
"0202020312";"05"
"0202020320";"01"
"0202020320";"02"
"0202020320";"05"
"0202020339";"01"
"0202020339";"02"
"0202020339";"05"
"0202020347";"01"
"0202020347";"02"
"0202020347";"05"
"0202020355";"01"
"0202020355";"02"
"0202020355";"05"
"0202020363";"01"
"0202020363";"02"
"0202020363";"05"
"0202020371";"01"
"0202020371";"02"
"0202020371";"05"
"0202020371";"07"
"0202020380";"01"
"0202020380";"02"
"0202020380";"05"
"0202020380";"07"
"0202020398";"01"
"0202020398";"02"
"0202020398";"05"
"0202020401";"01"
"0202020401";"02"
"0202020401";"05"
"0202020410";"01"
"0202020410";"02"
"0202020410";"05"
"0202020428";"01"
"0202020428";"02"
"0202020428";"05"
"0202020436";"01"
"0202020436";"02"
"0202020436";"05"
"0202020444";"01"
"0202020444";"02"
"0202020444";"05"
"0202020452";"01"
"0202020452";"02"
"0202020452";"05"
"0202020460";"01"
"0202020460";"02"
"0202020460";"05"
"0202020479";"05"
"0202020487";"01"
"0202020487";"02"
"0202020487";"05"
"0202020495";"01"
"0202020495";"02"
"0202020495";"05"
"0202020509";"01"
"0202020509";"02"
"0202020509";"05"
"0202020517";"01"
"0202020517";"02"
"0202020525";"01"
"0202020525";"02"
"0202020525";"05"
"0202020533";"01"
"0202020533";"02"
"0202020533";"05"
"0202020541";"01"
"0202020541";"02"
"0202020541";"05"
"0202030016";"01"
"0202030016";"02"
"0202030016";"05"
"0202030024";"02"
"0202030024";"05"
"0202030032";"01"
"0202030032";"02"
"0202030032";"05"
"0202030040";"01"
"0202030040";"02"
"0202030040";"05"
"0202030059";"02"
"0202030059";"05"
"0202030067";"01"
"0202030067";"02"
"0202030067";"05"
"0202030075";"01"
"0202030075";"02"
"0202030075";"05"
"0202030083";"01"
"0202030083";"02"
"0202030083";"05"
"0202030091";"01"
"0202030091";"02"
"0202030091";"05"
"0202030105";"01"
"0202030105";"02"
"0202030105";"05"
"0202030113";"01"
"0202030113";"02"
"0202030113";"05"
"0202030121";"01"
"0202030121";"02"
"0202030121";"05"
"0202030130";"01"
"0202030130";"02"
"0202030130";"05"
"0202030148";"01"
"0202030148";"02"
"0202030148";"05"
"0202030156";"01"
"0202030156";"02"
"0202030156";"05"
"0202030164";"01"
"0202030164";"02"
"0202030164";"05"
"0202030172";"05"
"0202030180";"01"
"0202030180";"02"
"0202030180";"05"
"0202030199";"01"
"0202030199";"02"
"0202030199";"05"
"0202030202";"01"
"0202030202";"02"
"0202030202";"05"
"0202030210";"02"
"0202030229";"01"
"0202030229";"02"
"0202030229";"05"
"0202030237";"02"
"0202030237";"04"
"0202030245";"01"
"0202030245";"02"
"0202030245";"05"
"0202030253";"01"
"0202030253";"02"
"0202030253";"05"
"0202030261";"01"
"0202030261";"02"
"0202030270";"01"
"0202030270";"02"
"0202030270";"05"
"0202030288";"01"
"0202030288";"02"
"0202030288";"05"
"0202030296";"01"
"0202030296";"02"
"0202030296";"05"
"0202030300";"01"
"0202030300";"02"
"0202030300";"05"
"0202030300";"07"
"0202030318";"01"
"0202030318";"02"
"0202030318";"05"
"0202030326";"01"
"0202030326";"02"
"0202030326";"05"
"0202030334";"01"
"0202030334";"02"
"0202030334";"05"
"0202030342";"01"
"0202030342";"02"
"0202030342";"05"
"0202030350";"01"
"0202030350";"02"
"0202030350";"05"
"0202030369";"01"
"0202030369";"02"
"0202030369";"05"
"0202030377";"01"
"0202030377";"02"
"0202030377";"05"
"0202030385";"01"
"0202030385";"02"
"0202030385";"05"
"0202030393";"01"
"0202030393";"02"
"0202030393";"05"
"0202030407";"01"
"0202030407";"02"
"0202030407";"05"
"0202030415";"01"
"0202030415";"02"
"0202030415";"05"
"0202030423";"01"
"0202030423";"02"
"0202030423";"05"
"0202030431";"01"
"0202030431";"02"
"0202030431";"05"
"0202030440";"01"
"0202030440";"02"
"0202030440";"05"
"0202030458";"01"
"0202030458";"02"
"0202030458";"05"
"0202030466";"01"
"0202030466";"02"
"0202030466";"05"
"0202030474";"01"
"0202030474";"02"
"0202030474";"05"
"0202030482";"01"
"0202030482";"02"
"0202030482";"05"
"0202030504";"01"
"0202030504";"02"
"0202030504";"05"
"0202030512";"01"
"0202030512";"02"
"0202030512";"05"
"0202030520";"01"
"0202030520";"02"
"0202030520";"05"
"0202030539";"01"
"0202030539";"02"
"0202030539";"05"
"0202030547";"01"
"0202030547";"02"
"0202030547";"05"
"0202030555";"01"
"0202030555";"02"
"0202030555";"05"
"0202030563";"01"
"0202030563";"02"
"0202030563";"05"
"0202030571";"01"
"0202030571";"02"
"0202030571";"05"
"0202030580";"01"
"0202030580";"02"
"0202030580";"05"
"0202030598";"01"
"0202030598";"02"
"0202030598";"05"
"0202030601";"01"
"0202030601";"02"
"0202030601";"05"
"0202030610";"01"
"0202030610";"02"
"0202030610";"05"
"0202030628";"01"
"0202030628";"02"
"0202030628";"05"
"0202030636";"01"
"0202030636";"02"
"0202030636";"05"
"0202030636";"07"
"0202030644";"01"
"0202030644";"02"
"0202030644";"05"
"0202030652";"01"
"0202030652";"02"
"0202030652";"05"
"0202030660";"01"
"0202030660";"02"
"0202030660";"05"
"0202030679";"02"
"0202030679";"05"
"0202030679";"07"
"0202030687";"01"
"0202030687";"02"
"0202030687";"05"
"0202030695";"01"
"0202030695";"02"
"0202030695";"05"
"0202030709";"01"
"0202030709";"02"
"0202030709";"05"
"0202030717";"01"
"0202030717";"02"
"0202030717";"05"
"0202030725";"01"
"0202030725";"02"
"0202030725";"05"
"0202030733";"01"
"0202030733";"02"
"0202030733";"05"
"0202030741";"01"
"0202030741";"02"
"0202030741";"05"
"0202030750";"01"
"0202030750";"02"
"0202030750";"05"
"0202030768";"01"
"0202030768";"02"
"0202030768";"05"
"0202030776";"01"
"0202030776";"02"
"0202030776";"05"
"0202030784";"01"
"0202030784";"02"
"0202030784";"05"
"0202030784";"07"
"0202030792";"01"
"0202030792";"02"
"0202030792";"05"
"0202030806";"01"
"0202030806";"02"
"0202030806";"05"
"0202030814";"01"
"0202030814";"02"
"0202030814";"05"
"0202030822";"01"
