"co_procedimento";"co_servico"
"0202031209";"145"
"0202031217";"145"
"0202031225";"145"
"0202031233";"145"
"0202031233";"145"
"0202031250";"145"
"0202031250";"145"
"0202031268";"145"
"0202031268";"145"
"0202040011";"145"
"0202040020";"145"
"0202040038";"145"
"0202040046";"145"
"0202040054";"145"
"0202040062";"145"
"0202040070";"145"
"0202040089";"145"
"0202040097";"145"
"0202040100";"145"
"0202040119";"145"
"0202040127";"145"
"0202040135";"145"
"0202040143";"145"
"0202040151";"145"
"0202040160";"145"
"0202040178";"145"
"0202050017";"145"
"0202050025";"145"
"0202050033";"145"
"0202050041";"145"
"0202050050";"145"
"0202050068";"145"
"0202050076";"145"
"0202050076";"145"
"0202050084";"145"
"0202050092";"145"
"0202050106";"145"
"0202050114";"145"
"0202050122";"145"
"0202050130";"145"
"0202050149";"145"
"0202050157";"145"
"0202050165";"145"
"0202050173";"145"
"0202050181";"145"
"0202050190";"145"
"0202050203";"145"
"0202050211";"145"
"0202050220";"145"
"0202050238";"145"
"0202050246";"145"
"0202050254";"145"
"0202050262";"145"
"0202050270";"145"
"0202050289";"145"
"0202050297";"145"
"0202050300";"145"
"0202050319";"145"
"0202050327";"145"
"0202060012";"145"
"0202060012";"151"
"0202060020";"145"
"0202060020";"151"
"0202060039";"145"
"0202060039";"151"
"0202060047";"145"
"0202060047";"151"
"0202060055";"145"
"0202060055";"151"
"0202060063";"145"
"0202060063";"151"
"0202060071";"145"
"0202060071";"151"
"0202060080";"145"
"0202060080";"151"
"0202060098";"145"
"0202060098";"151"
"0202060101";"145"
"0202060101";"151"
"0202060110";"145"
"0202060110";"151"
"0202060128";"145"
"0202060128";"151"
"0202060136";"145"
"0202060136";"151"
"0202060144";"145"
"0202060144";"151"
"0202060152";"145"
"0202060152";"151"
"0202060160";"145"
"0202060160";"151"
"0202060179";"145"
"0202060179";"151"
"0202060187";"145"
"0202060187";"151"
"0202060195";"145"
"0202060195";"151"
"0202060209";"145"
"0202060209";"151"
"0202060217";"145"
"0202060217";"151"
"0202060225";"145"
"0202060225";"151"
"0202060233";"145"
"0202060233";"151"
"0202060241";"145"
"0202060241";"151"
"0202060250";"145"
"0202060250";"151"
"0202060268";"145"
"0202060268";"151"
"0202060276";"145"
"0202060276";"151"
"0202060284";"145"
"0202060284";"151"
"0202060292";"145"
"0202060292";"151"
"0202060306";"145"
"0202060306";"151"
"0202060314";"145"
"0202060314";"151"
"0202060322";"145"
"0202060322";"151"
"0202060330";"145"
"0202060330";"151"
"0202060349";"145"
"0202060349";"151"
"0202060357";"145"
"0202060357";"151"
"0202060365";"145"
"0202060365";"151"
"0202060373";"145"
"0202060373";"151"
"0202060381";"145"
"0202060381";"151"
"0202060390";"145"
"0202060390";"151"
"0202060403";"145"
"0202060403";"151"
"0202060411";"145"
"0202060411";"151"
"0202060420";"145"
"0202060420";"151"
"0202060438";"145"
"0202060438";"151"
"0202060446";"145"
"0202060446";"151"
"0202060454";"145"
"0202060454";"151"
"0202060462";"145"
"0202060462";"151"
"0202060470";"145"
"0202070018";"145"
"0202070026";"145"
"0202070034";"145"
"0202070042";"145"
"0202070050";"145"
"0202070069";"145"
"0202070077";"145"
"0202070085";"145"
"0202070093";"145"
"0202070107";"145"
"0202070115";"145"
"0202070123";"145"
"0202070131";"145"
"0202070140";"145"
"0202070158";"145"
"0202070166";"145"
"0202070174";"145"
"0202070182";"145"
"0202070190";"145"
"0202070204";"145"
"0202070212";"145"
"0202070220";"145"
"0202070239";"145"
"0202070247";"145"
"0202070255";"145"
"0202070263";"145"
"0202070271";"145"
"0202070280";"145"
"0202070298";"145"
"0202070301";"145"
"0202070310";"145"
"0202070328";"145"
"0202070336";"145"
"0202070344";"145"
"0202070352";"145"
"0202080013";"145"
"0202080021";"145"
"0202080030";"145"
"0202080048";"145"
"0202080056";"145"
"0202080064";"145"
"0202080072";"145"
"0202080080";"145"
"0202080099";"145"
"0202080102";"145"
"0202080110";"145"
"0202080129";"145"
"0202080137";"145"
"0202080145";"145"
"0202080153";"145"
"0202080161";"145"
"0202080170";"145"
"0202080188";"145"
"0202080196";"145"
"0202080200";"145"
"0202080218";"145"
"0202080226";"145"
"0202080234";"145"
"0202090019";"145"
"0202090027";"145"
"0202090035";"145"
"0202090043";"145"
"0202090051";"145"
"0202090060";"145"
"0202090078";"145"
"0202090086";"145"
"0202090094";"145"
"0202090108";"145"
"0202090116";"145"
"0202090124";"145"
"0202090132";"145"
"0202090140";"145"
"0202090159";"145"
"0202090167";"145"
"0202090183";"145"
"0202090191";"145"
"0202090213";"145"
"0202090221";"145"
"0202090221";"151"
"0202090230";"145"
"0202090248";"145"
"0202090256";"145"
"0202090264";"145"
"0202090272";"145"
"0202090280";"145"
"0202090299";"145"
"0202090302";"145"
"0202090310";"145"
"0202090329";"145"
"0202090337";"145"
"0202090345";"145"
"0202090353";"145"
"0202100014";"145"
"0202100022";"145"
"0202100030";"145"
"0202100049";"120"
"0202100049";"145"
"0202100057";"145"
"0202100065";"145"
"0202100073";"145"
"0202100081";"145"
"0202100090";"145"
"0202100103";"145"
"0202100111";"145"
"0202100120";"145"
"0202100138";"145"
"0202100146";"145"
"0202100154";"145"
"0202100162";"145"
"0202100170";"145"
"0202100189";"145"
"0202100197";"145"
"0202110010";"145"
"0202110028";"145"
"0202110036";"145"
"0202110044";"145"
"0202110052";"145"
"0202110060";"145"
"0202110079";"145"
"0202110087";"145"
"0202110095";"145"
"0202110109";"145"
"0202110117";"145"
"0202110125";"145"
"0202110133";"145"
"0202110141";"145"
"0202120015";"128"
"0202120015";"145"
"0202120023";"128"
"0202120023";"145"
"0202120031";"128"
"0202120031";"145"
"0202120040";"128"
"0202120040";"145"
"0202120058";"128"
"0202120058";"145"
"0202120066";"128"
"0202120066";"145"
"0202120074";"128"
"0202120074";"145"
"0202120082";"128"
"0202120082";"145"
"0202120090";"128"
"0202120090";"145"
"0202120104";"128"
"0202120104";"145"
"0203010019";"120"
"0203010027";"120"
"0203010035";"120"
"0203010043";"120"
"0203010078";"120"
"0203010086";"120"
"0203010086";"120"
"0203020014";"120"
"0203020014";"120"
"0203020022";"120"
"0203020030";"120"
"0203020049";"120"
"0203020057";"120"
"0203020065";"120"
"0203020073";"120"
"0203020081";"120"
"0204010012";"121"
"0204010012";"121"
"0204010020";"121"
"0204010020";"121"
"0204010039";"121"
"0204010039";"121"
"0204010047";"121"
"0204010047";"121"
"0204010055";"121"
"0204010055";"121"
"0204010063";"121"
"0204010063";"121"
"0204010071";"121"
"0204010071";"121"
"0204010080";"121"
"0204010080";"121"
"0204010098";"121"
"0204010098";"121"
"0204010101";"121"
"0204010101";"121"
"0204010110";"121"
"0204010110";"121"
